# Name: CRT Easymode (Port)_H
# Original shader: crt-easymode (Easymode, GPL); libretro/slang-shaders @ 3b0d6aa1d134
# Fitted to MiSTer RTL arithmetic (see tools/DESIGN.md)

10bit

   0, 256,   0,   0
   0, 256,   0,   0
  -1, 256,   1,   0
  -1, 256,   1,   0
  -2, 256,   2,   0
  -2, 256,   2,   0
  -3, 256,   3,   0
  -3, 256,   3,   0
  -4, 256,   4,   0
  -4, 256,   4,   0
  -5, 256,   5,   0
  -5, 255,   6,   0
  -5, 255,   6,   0
  -6, 255,   7,   0
  -6, 255,   7,   0
  -7, 255,   8,   0
  -7, 255,   8,   0
  -7, 254,   9,   0
  -8, 254,  10,   0
  -8, 254,  10,   0
  -9, 254,  11,   0
  -9, 254,  11,   0
  -9, 253,  12,   0
 -10, 253,  13,   0
 -10, 253,  13,   0
 -11, 253,  14,   0
 -11, 252,  15,   0
 -11, 252,  15,   0
 -12, 252,  16,   0
 -12, 252,  17,  -1
 -12, 251,  18,  -1
 -12, 251,  18,  -1
 -13, 251,  19,  -1
 -13, 250,  20,  -1
 -13, 250,  20,  -1
 -14, 250,  21,  -1
 -14, 249,  22,  -1
 -14, 248,  23,  -1
 -15, 248,  24,  -1
 -15, 248,  24,  -1
 -15, 247,  25,  -1
 -16, 247,  26,  -1
 -16, 246,  27,  -1
 -16, 246,  27,  -1
 -16, 245,  28,  -1
 -17, 245,  29,  -1
 -17, 244,  30,  -1
 -17, 244,  31,  -2
 -17, 243,  32,  -2
 -17, 243,  32,  -2
 -17, 242,  33,  -2
 -18, 242,  34,  -2
 -18, 241,  35,  -2
 -18, 240,  36,  -2
 -19, 240,  37,  -2
 -19, 239,  38,  -2
 -19, 239,  38,  -2
 -19, 238,  39,  -2
 -19, 237,  40,  -2
 -19, 237,  41,  -3
 -19, 236,  42,  -3
 -20, 235,  43,  -2
 -20, 235,  44,  -3
 -20, 234,  45,  -3
 -20, 233,  46,  -3
 -20, 232,  47,  -3
 -20, 231,  48,  -3
 -21, 231,  49,  -3
 -21, 230,  50,  -3
 -21, 229,  51,  -3
 -21, 228,  52,  -3
 -21, 228,  53,  -4
 -21, 227,  54,  -4
 -21, 226,  55,  -4
 -21, 225,  56,  -4
 -22, 224,  58,  -4
 -21, 223,  59,  -5
 -21, 222,  60,  -5
 -21, 221,  61,  -5
 -21, 220,  62,  -5
 -22, 220,  63,  -5
 -22, 218,  65,  -5
 -22, 217,  66,  -5
 -22, 216,  67,  -5
 -22, 215,  68,  -5
 -22, 215,  69,  -6
 -22, 214,  70,  -6
 -22, 212,  72,  -6
 -22, 211,  73,  -6
 -22, 210,  74,  -6
 -22, 209,  75,  -6
 -22, 208,  77,  -7
 -22, 207,  78,  -7
 -22, 206,  79,  -7
 -22, 205,  80,  -7
 -22, 203,  82,  -7
 -22, 202,  83,  -7
 -22, 201,  85,  -8
 -22, 200,  86,  -8
 -22, 199,  87,  -8
 -21, 197,  88,  -8
 -21, 196,  90,  -9
 -21, 195,  91,  -9
 -21, 193,  93,  -9
 -21, 192,  94,  -9
 -21, 191,  95,  -9
 -21, 189,  97,  -9
 -21, 188,  99, -10
 -21, 187, 100, -10
 -21, 185, 102, -10
 -21, 184, 103, -10
 -20, 182, 105, -11
 -20, 181, 106, -11
 -20, 179, 108, -11
 -20, 177, 110, -11
 -20, 176, 111, -11
 -19, 174, 113, -12
 -19, 172, 115, -12
 -20, 171, 117, -12
 -19, 169, 119, -13
 -19, 167, 121, -13
 -19, 165, 123, -13
 -18, 163, 124, -13
 -18, 161, 127, -14
 -18, 159, 129, -14
 -18, 156, 132, -14
 -17, 154, 134, -15
 -17, 150, 138, -15
 -16, 144, 144, -16
 -15, 138, 150, -17
 -15, 134, 154, -17
 -14, 132, 156, -18
 -14, 129, 159, -18
 -14, 127, 161, -18
 -13, 124, 163, -18
 -13, 123, 165, -19
 -13, 121, 167, -19
 -13, 119, 169, -19
 -12, 117, 171, -20
 -12, 115, 172, -19
 -12, 113, 174, -19
 -11, 111, 176, -20
 -11, 110, 177, -20
 -11, 108, 179, -20
 -11, 106, 181, -20
 -11, 105, 182, -20
 -10, 103, 184, -21
 -10, 102, 185, -21
 -10, 100, 187, -21
 -10,  99, 188, -21
  -9,  97, 189, -21
  -9,  95, 191, -21
  -9,  94, 192, -21
  -9,  93, 193, -21
  -9,  91, 195, -21
  -9,  90, 196, -21
  -8,  88, 197, -21
  -8,  87, 199, -22
  -8,  86, 200, -22
  -8,  85, 201, -22
  -7,  83, 202, -22
  -7,  82, 203, -22
  -7,  80, 205, -22
  -7,  79, 206, -22
  -7,  78, 207, -22
  -7,  77, 208, -22
  -6,  75, 209, -22
  -6,  74, 210, -22
  -6,  73, 211, -22
  -6,  72, 212, -22
  -6,  70, 214, -22
  -6,  69, 215, -22
  -5,  68, 215, -22
  -5,  67, 216, -22
  -5,  66, 217, -22
  -5,  65, 218, -22
  -5,  63, 220, -22
  -5,  62, 220, -21
  -5,  61, 221, -21
  -5,  60, 222, -21
  -5,  59, 223, -21
  -4,  58, 224, -22
  -4,  56, 225, -21
  -4,  55, 226, -21
  -4,  54, 227, -21
  -4,  53, 228, -21
  -3,  52, 228, -21
  -3,  51, 229, -21
  -3,  50, 230, -21
  -3,  49, 231, -21
  -3,  48, 231, -20
  -3,  47, 232, -20
  -3,  46, 233, -20
  -3,  45, 234, -20
  -3,  44, 235, -20
  -2,  43, 235, -20
  -3,  42, 236, -19
  -3,  41, 237, -19
  -2,  40, 237, -19
  -2,  39, 238, -19
  -2,  38, 239, -19
  -2,  38, 239, -19
  -2,  37, 240, -19
  -2,  36, 240, -18
  -2,  35, 241, -18
  -2,  34, 242, -18
  -2,  33, 242, -17
  -2,  32, 243, -17
  -2,  32, 243, -17
  -2,  31, 244, -17
  -1,  30, 244, -17
  -1,  29, 245, -17
  -1,  28, 245, -16
  -1,  27, 246, -16
  -1,  27, 246, -16
  -1,  26, 247, -16
  -1,  25, 247, -15
  -1,  24, 248, -15
  -1,  24, 248, -15
  -1,  23, 248, -14
  -1,  22, 249, -14
  -1,  21, 250, -14
  -1,  20, 250, -13
  -1,  20, 250, -13
  -1,  19, 251, -13
  -1,  18, 251, -12
  -1,  18, 251, -12
  -1,  17, 252, -12
   0,  16, 252, -12
   0,  15, 252, -11
   0,  15, 252, -11
   0,  14, 253, -11
   0,  13, 253, -10
   0,  13, 253, -10
   0,  12, 253,  -9
   0,  11, 254,  -9
   0,  11, 254,  -9
   0,  10, 254,  -8
   0,  10, 254,  -8
   0,   9, 254,  -7
   0,   8, 255,  -7
   0,   8, 255,  -7
   0,   7, 255,  -6
   0,   7, 255,  -6
   0,   6, 255,  -5
   0,   6, 255,  -5
   0,   5, 256,  -5
   0,   4, 256,  -4
   0,   4, 256,  -4
   0,   3, 256,  -3
   0,   3, 256,  -3
   0,   2, 256,  -2
   0,   2, 256,  -2
   0,   1, 256,  -1
   0,   1, 256,  -1
   0,   0, 256,   0
